260	437
261	441,5
262	446
263	450,5
264	455
265	459,5
266	464
267	468,5
268	473
269	477,5
270	482
271	482,5
272	483
273	483,5
274	484
275	484,5
276	485
277	485,5
278	486
279	486,5
280	487
281	488
282	489
283	490
284	491
285	492
286	493
287	494
288	495
289	496
290	497
291	497,3
292	497,6
293	497,9
294	498,2
295	498,5
296	498,8
297	499,1
298	499,4
299	499,7
300	500
301	499
302	498
303	497
304	496
305	495
306	494
307	493
308	492
309	491
310	490
311	491
312	492
313	493
314	494
315	495
316	496
317	497
318	498
319	499
320	500
321	510
322	520
323	530
324	540
325	550
326	560
327	570
328	580
329	590
330	600
331	601
332	602
333	603
334	604
335	605
336	606
337	607
338	608
339	609
340	610
